EventId,Mean,STDDEVI,STDDEVC,EXPVAL,RATE
2874202,130720313.537315,17919272.2636346,52044518.2859828,3073577857.3671,7.47188562218308E-06
2874203,920193.865229644,344396.922695691,1380290.79784447,4909475463,1.62456343530474E-05
2874204,43091510.0385047,9350455.72651592,28916779.4209093,3038003967.12,4.42653834502065E-06
2874205,3167079.70320434,1554682.80055896,4625481.10967101,2747172922.56,1.65755790702688E-05
2874206,6431300.79058923,2345149.77836121,8720851.48794856,4207118025,5.6454513451167E-05
2874210,824161.943450653,338737.039541301,1236237.5074456,4207118025,0.000236078525955285
2874211,65804660.6274129,12246244.0516566,39848593.9729397,5003312251.2108,7.59437377357951E-06
2874212,4952909.56237317,682268.291579969,7429349.49458602,40411240944,5.52585089390186E-05
2874213,26295136.7853227,7028966.2263362,21723689.345961,2952762825.818,7.92725023796743E-06
2874215,266637.406547005,156539.893494078,399956.109820508,2112555225,3.46535744399552E-05
2874218,3106.07396244589,13200.8149636844,4659.11094366883,36049887,1.06470805077927E-06
2874219,56823968.8752688,8532335.71293074,62642464.4698656,63093231537.538,7.96828911761329E-06
2874220,7956217.88455977,2069163.71129477,11293158.0043613,35924945730,2.4095929954109E-05
2874222,8165999.23394188,3104090.7860955,10113598.8553899,4177572741,3.84743704443589E-05
2874223,3583676.9216739,1739918.94154551,5177858.9104548,2693901120,2.62922370628455E-05
2874225,21065864.0924084,2926523.15687554,31265728.8876735,36521751392.0041,3.20474598896534E-05
2874226,68212.2216916178,69912.5180668314,102318.332537427,704336964,3.26550565184735E-05
2874228,659560.081690765,360325.147842663,988868.812946021,2932373340,1.01135468669734E-05
2874229,3249326.12131044,1385016.38192763,4787711.64822453,6181594527,8.5444584526795E-05
2874231,792706.114722161,407886.628951359,1188100.89202983,2932373340,8.24770971868453E-06
2874233,3534982.71578636,2057668.62653358,4278202.26706854,1483671621,4.8022744856513E-07
2874234,646712.888453456,388242.669241509,970047.335586196,1901049948,2.54930829494719E-06
2874237,711570.137679282,362402.230858646,1066694.50023247,2823839901,3.75765707405978E-05
2874239,7859153.65641839,2769726.3904755,9620297.60816702,39357362673,1.20498715483238E-07
2874240,865.936794799666,3680.23155166432,1298.9051921995,36049887,8.92720391355565E-05
2874241,200654561.049509,23396107.4666567,70118497.8513436,4963514827.1922,4.63298186777944E-06
2874242,123778976.533383,17757610.8598338,54823128.4179007,5575236866.0253,1.70456791442463E-05
2874243,208685.456344588,122721.266291837,313028.184516881,2037921106.9804,1.13778067620891E-06
2874246,43769534.3873104,9604628.78378004,29458102.2638416,4014897540.9942,1.29562324546266E-05
2874248,292188.493090467,247002.113201361,437494.352275863,1483671621,4.1578786476626E-06
2874249,25.0767965700174,177.705030911362,37.615194855026,18021567,7.57618300744319E-05
2874250,67920801.4522372,7475143.4525108,93415827.423815,55978814316.5704,8.17748971497605E-07
2874251,56587702.8041914,11484577.0608785,25112336.1534691,1649251447.1874,1.12960533989255E-06
2874252,4078767.3283796,609525.93150461,6118148.68623343,36204122919,3.60044755821057E-05
2874253,20198267.2604898,6123844.87620693,18547500.9166851,2802300362.496,2.89357185547616E-05
2874254,9879081.53225718,3258287.39766557,12359435.185821,6226554096,5.74590539698057E-06
2874255,50928859.1891423,10486524.2796014,40761348.7769699,10095232924.7182,2.59193967267169E-06
2874256,164419039.503829,20312892.1635623,78011018.3555094,10714556356.0129,9.12937768703006E-07
2874258,1678085.23204467,447480.010951908,2517127.84806701,9996155040,6.52461357484747E-07
2874260,8118235.55757305,3231554.74056089,9728545.37614896,2693901120,0.000107476235524751
2874262,2783323.14465457,1500131.70300254,3785625.5407603,2970025675.63,3.66821523356478E-06
2874265,38124976.0591395,8885456.82929549,19748946.8954513,1494099617.8881,0.000108255057642544
2874266,7387028.29734539,3354601.25622529,7498936.97447604,4307511522,8.66131308292357E-05
2874268,27879865.2489047,7410812.25564625,18767612.0888348,4428786554.289,2.42419127764046E-07
2874269,952945.603900517,752762.584955575,1360439.92720723,1516932817.6095,0.000307053790310568
2874272,60848.6909801361,94228.1415420396,91273.0364702041,306971244,0.000236351448725574
2874273,9172164.65531945,4010597.04072829,8131414.18086042,2672968740,3.88533937419745E-06
2874275,155194592.045652,19674020.1330722,56788905.5978523,3045316594.235,3.18591103988996E-06
2874277,1641812.35931517,832902.462122386,2450502.1933945,2693901120,0.000195900600448908
2874278,25415082.268741,6741713.1418322,24928828.5996736,4621441371.0818,2.27581254598878E-06
2874279,608839.651254938,309067.032650132,913259.476882407,2693901120,3.19594902694707E-06
2874280,16194377.2184897,2243476.22165967,24230790.6242168,60254304417,3.08639657210711E-05
2874282,30858894.5670254,8082459.81647805,24527040.5627692,2967982165.824,7.9542606568577E-05
2874283,3706998.35303061,1386893.4394409,5510507.41612619,4800942024,2.77999492231691E-05
2874284,598259.293491529,326512.822907029,896995.231391426,2572037793,1.47621915635367E-05
2874287,336058107.075517,31368584.147154,86450996.2714704,3366325240.3284,4.09764658287808E-06
2874288,119902180.832943,17253479.5471836,52401701.1286161,3179605243.104,2.19943966155502E-05
2874289,247692878.681256,26738649.0584262,82708519.2548306,5294823395.9874,9.5429011831954E-07
2874290,111369035.5859,16349961.3505301,50616665.7189215,3388440868.462,0.000103077616914729
2874292,278463091.239586,28068930.1885258,102357643.323041,5309941097.9882,1.34675803498512E-05
2874294,50509891.9752446,10353009.93783,31368575.5044537,2913782399.52,6.08412487374541E-05
2874300,23.2748744080864,139.891504444876,34.9123116121296,18057261,0.000417690009441742
2874301,604868.773450318,363142.257816085,907294.010932209,1882992687,1.18840001613742E-05
2874304,20140893.8645035,3765323.71308242,28733067.6018542,24563770689,8.78208966677525E-06
2874305,41770037.8500446,9096906.51964177,27349314.7524393,4514282340.7936,7.58155799563138E-05
2874306,2405233.67012918,358215.039666122,3607848.42995422,34668302904,3.79522103313706E-05
2874308,58242935.3581954,10860265.1942619,33172553.3028468,2864929311.7493,0.000236725790719319
2874309,4450762.27020665,2119592.85537403,5619760.81650065,2823839901,3.9236428793128E-05
2874310,14018870.8126044,4560638.99227769,15148451.2458525,4364036989.9576,4.87911488236257E-06
2874313,30750186.409855,8307938.5903659,19088359.7682498,4803907064.8306,1.24257828376098E-05
2874314,162246795.131861,17834915.8217706,120012046.431041,69724825070.7888,7.56651178413364E-06
2874315,481689.406356374,243651.03975114,722534.109534561,2693901120,0.000232223455366734
