OCCTYPE,OccDesc
0,Unknown
1,Permanent Dwelling (single family housing)
3,Temporary Lodging
5,Retail Trade
8,Professional Technical and Business Services
10,Entertainment and Recreation
13,Light Fabrication and Assembly
37,General Commercial
