EventId,Mean,STDDEVI,STDDEVC,EXPVAL,RATE
2847001,14.9384695533295,90.8705725390397,22.4077043299943,18012969,1E-10
2847007,7300.60698761328,25776.3880956228,10950.9104814199,63181878,1E-10
2847009,56318.3562068263,153278.515674847,83689.833200724,90448002,1E-10
2847023,445127.621892632,680272.174763506,540076.386271284,198201873,1E-10
2847042,105084.544838575,161878.663615409,157225.191848603,297266469,1E-10
2847095,1567292.45261239,1670578.00957212,1108826.21433154,144371829,1E-10
2847096,41596.3421380548,80377.5177944614,62343.0969960259,198201873,1E-10
2847109,106.099654101487,645.403218303858,159.14948115223,18012969,1E-10
2847117,121.29318279435,737.825315556238,181.939774191525,18012969,1E-10
2847121,588316.187774048,804925.364190053,725399.728702612,297266469,1E-10
2847131,349509.784199989,635445.112827131,376832.573913693,144371829,1E-10
2847134,48731.8561967838,112198.432568802,72887.1134233901,144371829,1E-10
2847139,431728.05039714,676377.284174556,535766.535402577,253836938.3963,1E-10
2847142,4027.31315742043,15610.9141653262,6040.96973613065,45229284,1E-10
2847154,33314.4659222241,76067.5361692928,49971.6988833361,144371829,1E-10
2847160,31909.2688797115,86809.5180001972,47819.8633720287,90448002,1E-10
2847164,38290.1918730488,73890.0288973359,57404.1096740925,198201873,1E-10
2847169,209312.255123236,204544.170018879,313951.140981909,759066930,1E-10
2847172,205050.065586223,452455.269055244,253725.05931652,144371829,1E-10
2847176,13205.1809087183,36042.827290791,19807.7713630774,90448002,1E-10
2847185,436893.812499367,776902.553630723,427219.586473206,90448002,1E-10
2847191,17829953.8819397,5462196.94466395,19307202.6520702,4780201630.6317,1E-10
2847195,592.29264520152,3602.91070783034,888.438967802281,18012969,1E-10
2847204,12903.7850396846,36865.5150194613,19355.6775595269,90448002,1E-10
2847209,29877.3756515715,81314.2147846638,44790.3217480931,90448002,1E-10
2847221,501.131444074379,3048.37795752451,751.697166111569,18012969,1E-10
2847224,11754.6433149588,32645.7998146134,17631.9649724382,90448002,1E-10
2847234,3442.41170723217,14704.4576786791,5163.61756084826,36046602,1E-10
2847241,1646.64621382475,8906.87027257352,2469.96932073713,27018123,1E-10
2847242,16948.9676210269,46973.4298552244,25423.4514315403,90448002,1E-10
2847244,147996.526962903,362058.258237921,194394.352326372,90448002,1E-10
2847245,51532.654928403,99094.3073425569,77168.4187258455,198201873,1E-10
2847250,303.615550471559,1846.89060024174,455.423325707338,18012969,1E-10
2847272,8864.62360132164,28276.5288063387,13296.9354019825,72054660,1E-10
2847274,3239520.69290524,2527393.99411475,1768065.91022306,244756082.7639,1E-10
2847278,64692.8373482169,173595.625663928,95689.5243055944,90448002,1E-10
2847280,46754.2862724244,72400.9908958604,70131.4294086367,297266469,1E-10
2847294,135570.054502802,255469.55745496,198952.141401574,198201873,1E-10
2847296,268059.123125464,519677.89993477,305602.516667542,144371829,1E-10
2847316,817203.156619095,417739.90169447,1225113.10064538,2869708119,1E-10
2847318,614735.226730996,270263.465017201,922073.898694945,3883420785,1E-10
2847321,2053924.51064316,1495110.76859147,2583721.90256935,1559319351.5054,1E-10
2847328,1097167.16423147,1279613.63865152,1015188.66273224,236251576.1043,1E-10
2847329,1338377.97094266,910392.635503187,1828723.626523,3512068326,1E-10
2847339,123020.810159726,189112.135378536,183729.187176203,297266469,1E-10
2847341,526186.498452753,518411.637750543,780485.013453605,849514932,1E-10
2847346,166.873777752355,1015.09165209545,250.310666628532,18012969,1E-10
2847357,92211.7919955079,159085.971023441,138301.268776744,266835737.4753,1E-10
2847363,18582.4426647393,52472.0068034784,27873.6639971089,90448002,1E-10
2847364,142428.334196158,304873.311059231,200118.972486549,180557667,1E-10
2847369,328167.077492314,153127.368935776,492249.562149456,3376815435,1E-10
2847371,11275788.6666319,5405825.49710983,4431113.92808239,401572278.0772,1E-10
2847397,87555.2389208522,165749.623466282,130296.169591498,234819831,1E-10
2847398,525862.214052301,380047.420425421,784047.510042621,3124353855,1E-10
2847407,386189.74085237,675466.962631236,415351.635554751,144371829,1E-10
2847416,85007.6893222119,206504.194183349,125239.956616467,144371829,1E-10
2847422,5004343.2526782,3251355.99828395,2179580.91536494,146076446.4444,1E-10
2847444,838623.058144319,1059156.08524086,850618.434764457,200221056.2115,1E-10
2847450,19887.1609610158,53329.4697064705,29830.7414415237,108325227,1E-10
2847456,1190389.84202889,1341959.10143614,1141814.38926296,245340231.7367,1E-10
2847477,118473.125316358,71953.0005370977,177709.66408263,2004079194,1E-10
2847478,4887997.72026766,3259132.68899957,2661350.78694062,320794758.4443,1E-10
2847484,919.775129923851,7818.08860435273,1379.66269488578,9038826,1E-10
2847488,14.9384695533295,90.8705725390397,22.4077043299943,18012969,1E-10
2847501,35.7747096579464,304.085032092544,53.6620644869196,9007464,1E-10
2847518,153674.785029342,286569.928273142,224401.922228774,198201873,1E-10
2847523,636599.185601689,1003079.96062748,557111.471833111,90978286.8102,1E-10
2847548,228893.72499607,481751.353496526,275565.155337704,144371829,1E-10
2847554,22914.8523940487,51961.5839187996,34372.2785910731,144371829,1E-10
2847559,23326020.1186895,8638505.23940782,6410641.51611971,295886818.2483,1E-10
2847563,312017.226436389,588856.395410187,337476.447223696,144371829,1E-10
2847572,50060.1185880878,116905.076386001,74676.2136587545,144371829,1E-10
2847575,2010911.69295594,1915559.91023431,1761123.94055165,1043282320.4242,1E-10
2847578,14.9384695533295,90.8705725390397,22.4077043299943,18012969,1E-10
2847579,556894.053786496,631411.511385715,694199.735964674,2844891921,1E-10
2847593,8288870.58292302,4496293.91740608,3640544.59498667,240050179.1304,1E-10
2847614,55802.4306317724,107472.736736671,83374.5728836386,234819831,1E-10
2847620,4897.42586002883,20595.1526705486,7346.13879004324,45134718,1E-10
2847628,47090.8648407391,91066.9701089637,70538.4552021518,198201873,1E-10
2847636,536204.828789836,917891.306031261,539443.460256793,262223553.344356,1E-10
2847638,342705.787095243,622285.78969874,372321.547589795,144371829,1E-10
2847640,325865.262666171,602539.695375358,380363.794229063,144371829,1E-10
2847669,5691293.57102939,2682740.15626987,6494298.80957608,3198174029.8454,1E-10
2847688,115620.371404091,219900.911359553,170705.907898622,198201873,1E-10
2847691,1161202.92986583,1352035.93862742,966321.590127679,234819831,1E-10
2847693,36932.1411542928,71297.5643575834,55368.1195283709,198201873,1E-10
2847694,698.647360970329,4249.86545314102,1047.97104145549,18012969,1E-10
2847703,121253.013617094,229570.5325895,178753.536630444,198201873,1E-10
2847719,1290605.36035242,859765.777202975,1791368.64818474,3421620324,1E-10
2847723,692604.458234229,1056593.74109239,659176.782529239,257422896.804,1E-10
2847724,14504.3628797555,39760.734706801,21756.5443196332,90448002,1E-10
2847728,40335.5364267323,77589.1236071566,60469.8791991214,198201873,1E-10
2847732,2712295.83619067,2293196.68098294,1486677.70698923,192574236.10121,1E-10
2847739,60967.9452656356,156480.802097125,90628.1742868353,126545853,1E-10
2847743,33533.5948857338,64927.957783201,50280.9156412704,198201873,1E-10
2847744,2147313.72051503,1995791.9457064,1422482.11446555,244670528.7132,1E-10
2847748,448687.756640374,736036.113358238,484414.198505713,144371829,1E-10
2847756,449062.166526527,731758.435484344,486699.50680002,144371829,1E-10
2847757,568703.810637922,902487.354085024,543090.449524297,144371829,1E-10
2847760,234073.091858773,455517.871211517,304143.044440149,241618690.7412,1E-10
2847768,1060528.01816852,1251854.05572091,999486.877806392,200579972.4792,1E-10
2847776,19605.2372825939,54442.1226540108,29407.8559238908,90448002,1E-10
2847782,3720106.67260672,2719234.0842386,1845350.61140863,144371829,1E-10
2847818,2166456.99290193,1646510.39979132,2186097.67038166,2894069287.9569,1E-10
2847820,1353803.81046719,1355268.9086603,1311984.66641925,297266469,1E-10
2847824,1568593.74705622,1319791.97232362,1990233.3022716,1545399048,1E-10
2847848,212.454366815088,1292.35795908183,318.681550222633,18012969,1E-10
2847869,49300.055947634,95588.9969958015,73820.9558594977,198201873,1E-10
2847880,1424581.89829731,1150011.79826783,1657896.95865905,2934113473.2564,1E-10
2847885,57881.483917141,88893.8154057217,86784.1119359542,325846996.1852,1E-10
2847887,217222.189889592,111069.818954333,325833.284834388,2743261503,1E-10
2847912,1580907.40595458,1672257.02654084,1118113.5058839,144371829,1E-10
2847922,2474183.57610823,2154199.31465961,1429260.33541429,189590547,1E-10
2847926,60924.8185652685,183242.106073368,86947.6219546436,90448002,1E-10
2847934,26384.5894323783,71477.7144201332,39576.8841485675,108325227,1E-10
2847952,16051.4368344544,43710.5936818601,24077.1552516816,90448002,1E-10
2848024,35508.5367204418,62294.1240230684,53262.8050806627,234220581,1E-10
2848060,3446.66330276342,14724.6530589955,5169.99495414513,36046602,1E-10
2848095,1325791.72676461,1425376.43645697,1146824.36131787,198201873,1E-10
2848116,10977.083853605,30042.5794214669,16465.6257804075,90448002,1E-10
2848118,131059.50720969,201650.275704001,195570.470721292,297266469,1E-10
2848150,20433.0846253279,40341.8439444054,30649.6269379919,198201873,1E-10
2848157,546.712056723243,3325.6444153662,820.068085084864,18012969,1E-10
2848174,40662.6797917608,62895.3557313251,60994.0196876412,297266469,1E-10
2848182,9843697.90945742,5249466.52611918,3261714.09033978,170228544.1815,1E-10
2848217,17.7359424950631,150.755511208036,26.6039137425946,9007464,1E-10
2848249,13992.0263674286,38225.5532494992,20988.0395511429,108325227,1E-10
2848265,143940.778957021,372021.082429836,185441.395692417,144371829,1E-10
2848319,117850.465588386,134942.609658985,176775.698382579,551837232,1E-10
2848332,59199.6157161788,110554.687723408,88668.10417298,273942805.65,1E-10
2848336,37005.4826874835,86866.3615103708,55498.6081216814,147568794.6,1E-10
2848352,360855.793714938,590810.871249604,673096.095865982,161209011.9,1E-10
2848358,226.323709747321,1376.72490378922,339.485564620981,20114265.9,1E-10
2848363,2874823.15072602,2454195.23478887,1693716.03982517,161209011.9,1E-10
2848403,1689836.58999318,1684148.11416743,1363586.33175173,205558433.7,1E-10
2848430,360855.793714938,660316.396633502,421612.95977187,161209011.9,1E-10
2848431,759.421510391873,4619.55405898234,1139.13226558781,18012969,8.62470658189352E-05
2848433,3973549.23816985,2904187.90413457,2362604.92562749,232178106.8463,2.22547201432502E-05
2848434,675218.346918614,906281.786828838,733313.516257959,234778257.8772,3.58647613419222E-07
2848435,1482729.55518698,1811524.7167551,821116.264369879,235111049.266,1.31050925717903E-06
2848436,395270.961915458,675461.721872406,442522.636695278,222304076.4306,6.32577944645895E-06
2848439,15422427.3358685,6872940.2239478,4483208.2769243,287347637.1023,5.94178499971117E-05
2848440,866609.170828192,1087590.2905513,875615.962715747,203145246.915,6.46284576754551E-05
2848442,126506.579675279,194879.174542733,188818.949785685,297266469,9.53256927477523E-06
2848443,670179.328232778,924888.343354516,733835.169879216,244539599.5714,8.31424231585168E-05
2848445,366620.996381933,699007.611471039,382741.779309434,91866109.7606,0.000128711692736132
2848446,73093.637422472,172242.569514789,108405.526674144,326280180.1854,7.69086106992388E-06
2848447,2409409.58523406,2130565.17993711,1774390.55398954,252947769.5925,1.20442647076901E-07
2848448,1202421.34545772,1309169.14437745,1240561.67247239,364042738.6239,1.25353304449948E-05
2848449,1476765.19159272,1429159.59382325,1426825.02878446,343562376.783,1.86099673946082E-06
2848450,507814.496931027,837914.595787332,490746.166613541,144371829,1.4848807289254E-05
2848451,75502.3759980479,154996.071155226,112589.481193894,234819831,5.46403492462567E-05
2848453,14261537.5396156,6491976.82794932,4870696.17285981,292376779.0669,6.47752655405792E-06
2848456,122487.153173561,333626.817405431,154262.037162347,181905291.8355,3.82858753089623E-06
2848458,12873012.4092062,6173854.83073326,4308732.21994637,295759035.6605,2.12017217787308E-06
2848459,3376224.16977755,2632663.6079156,2018827.65811521,260865472.6239,1.60401535245756E-05
2848460,145431.030343902,273866.468375283,212716.108346812,198201873,1.84929087339571E-05
2848462,1903463.9056938,1812121.34250929,1466303.61238415,204006207.3033,1.65152130125664E-05
2848463,3666992.60716266,2754651.9074645,2244426.05096007,228022972.1958,2.22718412621052E-05
2848464,1540263.94526484,1813418.75355008,1040237.31220326,441508541.3208,8.47494701700338E-07
2848465,2380767.29394071,2106512.92377193,1427863.74407151,144371829,0.000294159698538644
2848466,5018587.7208334,3288607.80267865,3207824.91382456,656577210.3424,1.31116519058917E-06
2848467,10040169.3550096,4744931.44859837,5620682.92972094,516205784.5927,1.43917856657476E-06
